Package Name,Versions,Total Services,License,Description,Homepage,Repository,Dev Dependency,Services Using
@angular/compiler,14.0.0; 11.2.14; 9.0.0,2,MIT,"Angular - the compiler library",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/compiler-cli,14.0.0; 11.2.14,2,MIT,"Angular - the compiler CLI for Node.js",https://github.com/angular/angular/tree/main/packages/compiler-cli,git+https://github.com/angular/angular.git,Yes,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/core,14.0.0; 11.2.14; 9.0.0,2,MIT,"Angular - the core framework",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/fire,7.5.0,1,MIT,"The official Angular library for Firebase.",https://github.com/angular/angularfire#readme,git+https://github.com/angular/angularfire.git,No,""cloned-repos/airtimemedia/botbuilder""
@angular/flex-layout,14.0.0-beta.41,1,MIT,"Angular Flex-Layout =======",https://github.com/angular/flex-layout#readme,git+https://github.com/angular/flex-layout.git,No,""cloned-repos/airtimemedia/botbuilder""
@angular/forms,14.0.0; 11.2.14,2,MIT,"Angular - directives and services for creating forms",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/language-service,11.2.14,1,MIT,"Angular - language services",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,Yes,""cloned-repos/airtimemedia/empire-admin""
@angular/material,14.0.0,1,MIT,"Angular Material",https://github.com/angular/components#readme,git+https://github.com/angular/components.git,No,""cloned-repos/airtimemedia/botbuilder""
@angular/material-moment-adapter,14.0.0,1,MIT,"Angular Material Moment Adapter",https://github.com/angular/components#readme,git+https://github.com/angular/components.git,No,""cloned-repos/airtimemedia/botbuilder""
@angular/platform-browser,14.0.0; 11.2.14,2,MIT,"Angular - library for using Angular in a web browser",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/platform-browser-dynamic,14.0.0; 11.2.14,2,MIT,"Angular - library for using Angular in a web browser with JIT compilation",https://github.com/angular/angular#readme,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@angular/router,14.0.0; 11.2.14,2,MIT,"Angular - the routing library",https://github.com/angular/angular/tree/main/packages/router,git+https://github.com/angular/angular.git,No,""cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/empire-admin""
@anthropic-ai,0.4.3,1,Unknown,"",,,No,""cloned-repos/airtimemedia/chat-gpt-dj""
@anthropic-ai/sdk,0.4.3,1,MIT,"Library for accessing the Anthropic API",https://github.com/anthropics/anthropic-sdk-typescript#readme,git+https://github.com/anthropics/anthropic-sdk-typescript.git,No,""cloned-repos/airtimemedia/chat-gpt-dj""
@apideck/better-ajv-errors,0.3.6,3,MIT,"Human-friendly JSON Schema validation for APIs",https://github.com/apideck-libraries/better-ajv-errors#readme,git+https://github.com/apideck-libraries/better-ajv-errors.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/transcription-demo""
@apidevtools,10.0.3; 9.1.0; 9.0.9; 3.0.2; 2.1.0,2,Unknown,"",,,No,""cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/sdk-admin""
@apidevtools/json-schema-ref-parser,9.1.0; 9.0.9,2,MIT,"Parse, Resolve, and Dereference JSON Schema $ref pointers",https://apitools.dev/json-schema-ref-parser/,git+https://github.com/APIDevTools/json-schema-ref-parser.git,No,""cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/sdk-admin""
@apidevtools/openapi-schemas,2.1.0,1,MIT,"JSON Schemas for every version of the OpenAPI Specification",https://apitools.dev/openapi-schemas,git+https://github.com/APIDevTools/openapi-schemas.git,No,""cloned-repos/airtimemedia/dev-console-backend""
@apidevtools/swagger-methods,3.0.2,1,MIT,"HTTP methods that are supported by Swagger 2.0",https://github.com/APIDevTools/swagger-methods,git+https://github.com/APIDevTools/swagger-methods.git,No,""cloned-repos/airtimemedia/dev-console-backend""
@apidevtools/swagger-parser,10.0.3,1,MIT,"Swagger 2.0 and OpenAPI 3.0 parser and validator for Node and browsers",https://apitools.dev/swagger-parser/,git+https://github.com/APIDevTools/swagger-parser.git,No,""cloned-repos/airtimemedia/dev-console-backend""
@architect,10.3.16; 9.0.5; 8.4.0; 7.0.10; 7.0.1; 4.0.9; 4.0.8; 4.0.6; 3.1.0; 2.0.2,1,Unknown,"",,,No,""cloned-repos/airtimemedia/the-force""
@ark-ui,5.18.2,1,Unknown,"",,,No,""cloned-repos/airtimemedia/the-force""
@asamuzakjp,10.4.3; 3.2.0; 2.3.1; 2.0.30; 2.0.2,1,Unknown,"",,,No,""cloned-repos/airtimemedia/the-force""
@assemblyscript,0.10.1,1,Unknown,"",,,Yes,""cloned-repos/airtimemedia/botbuilder""
@assemblyscript/loader,0.10.1,1,Apache-2.0,"A convenient loader for AssemblyScript modules.",https://assemblyscript.org,git+https://github.com/AssemblyScript/assemblyscript.git,Yes,""cloned-repos/airtimemedia/botbuilder""
@aws-cdk,9.1.0; 7.3.7; 7.3.5; 6.1.0; 6.0.0; 5.2.0; 4.2.10; 4.2.8; 4.0.0; 3.1.2; 3.0.4; 2.2.196; 2.1.2; 2.1.1; 2.0.165; 2.0.0; 1.166.1; 1.165.0; 1.138.0; 1.10.2; 1.6.3; 1.4.1; 1.4.0; 1.1.11; 1.0.2; 1.0.0; 0.0.1,2,Unknown,"",,,Yes,""cloned-repos/airtimemedia/app-bridge, cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/assert,1.138.0,1,Apache-2.0,"An assertion library for use with CDK Apps",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,Yes,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/asset-awscli-v1,2.2.196,1,Apache-2.0,"A library that contains the AWS CLI for use in Lambda Layers",https://github.com/cdklabs/awscdk-asset-awscli#readme,git+https://github.com/cdklabs/awscdk-asset-awscli.git,Yes,""cloned-repos/airtimemedia/app-bridge""
@aws-cdk/asset-kubectl-v20,2.1.2,1,Apache-2.0,"A library that contains kubectl for use in Lambda Layers",https://github.com/cdklabs/awscdk-asset-kubectl#readme,git+https://github.com/cdklabs/awscdk-asset-kubectl.git,Yes,""cloned-repos/airtimemedia/app-bridge""
@aws-cdk/asset-node-proxy-agent-v5,2.0.165,1,Apache-2.0,"<!--BEGIN STABILITY BANNER-->",https://github.com/cdklabs/awscdk-asset-node-proxy-agent#readme,git+https://github.com/cdklabs/awscdk-asset-node-proxy-agent.git,Yes,""cloned-repos/airtimemedia/app-bridge""
@aws-cdk/assets,1.166.1; 1.165.0,1,Apache-2.0,"This module is deprecated. All types are now available under the core module",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-acmpca,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ACMPCA",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-apigateway,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ApiGateway",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-applicationautoscaling,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ApplicationAutoScaling",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-autoscaling,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::AutoScaling",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-autoscaling-common,1.166.1; 1.165.0,1,Apache-2.0,"Common implementation package for @aws-cdk/aws-autoscaling and @aws-cdk/aws-applicationautoscaling",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-autoscaling-hooktargets,1.165.0,1,Apache-2.0,"Lifecycle hook for AWS AutoScaling",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-certificatemanager,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CertificateManager",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-cloudformation,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::CloudFormation",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
