"_messagetimems","_messagetime","maxLatency","_raw"
"1727210351000","09/24/2024 13:39:11.000 -0700","29","Sep 24 20:39:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:39:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29762,""lateCallbacks"":33,""latePercentage"":0.1108796451851354,""latencyPercentiles"":{""p50"":22,""p90"":27,""p99"":29},""avgLatency"":22.575757575757574,""maxLatency"":29,""timestamp"":""2024-09-24T20:39:11.650Z""}"
"1727210284000","09/24/2024 13:38:04.000 -0700","29","Sep 24 20:38:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:38:04.736[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29766,""lateCallbacks"":27,""latePercentage"":0.09070751864543439,""latencyPercentiles"":{""p50"":23,""p90"":29,""p99"":29},""avgLatency"":23.555555555555557,""maxLatency"":29,""timestamp"":""2024-09-24T20:38:04.736Z""}"
"1727210051000","09/24/2024 13:34:11.000 -0700","30","Sep 24 20:34:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:34:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29766,""lateCallbacks"":28,""latePercentage"":0.09406705637304308,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":30},""avgLatency"":23.071428571428573,""maxLatency"":30,""timestamp"":""2024-09-24T20:34:11.650Z""}"
"1727209984000","09/24/2024 13:33:04.000 -0700","29","Sep 24 20:33:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:33:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":30,""latePercentage"":0.10080306441315817,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":29},""avgLatency"":22.566666666666666,""maxLatency"":29,""timestamp"":""2024-09-24T20:33:04.736Z""}"
"1727209751000","09/24/2024 13:29:11.000 -0700","29","Sep 24 20:29:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:29:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29762,""lateCallbacks"":30,""latePercentage"":0.10079967744103219,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":29},""avgLatency"":23,""maxLatency"":29,""timestamp"":""2024-09-24T20:29:11.649Z""}"
"1727209684000","09/24/2024 13:28:04.000 -0700","29","Sep 24 20:28:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:28:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29758,""lateCallbacks"":31,""latePercentage"":0.10417366758518717,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":29},""avgLatency"":23.032258064516128,""maxLatency"":29,""timestamp"":""2024-09-24T20:28:04.737Z""}"
"1727209451000","09/24/2024 13:24:11.000 -0700","30","Sep 24 20:24:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:24:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29760,""lateCallbacks"":36,""latePercentage"":0.12096774193548387,""latencyPercentiles"":{""p50"":21,""p90"":26,""p99"":30},""avgLatency"":21.194444444444443,""maxLatency"":30,""timestamp"":""2024-09-24T20:24:11.649Z""}"
"1727209384000","09/24/2024 13:23:04.000 -0700","27","Sep 24 20:23:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:23:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29757,""lateCallbacks"":36,""latePercentage"":0.12097993749369895,""latencyPercentiles"":{""p50"":21,""p90"":26,""p99"":27},""avgLatency"":21,""maxLatency"":27,""timestamp"":""2024-09-24T20:23:04.737Z""}"
"1727209151000","09/24/2024 13:19:11.000 -0700","29","Sep 24 20:19:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:19:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":38,""latePercentage"":0.12768388159000033,""latencyPercentiles"":{""p50"":20,""p90"":25,""p99"":29},""avgLatency"":20.789473684210527,""maxLatency"":29,""timestamp"":""2024-09-24T20:19:11.649Z""}"
"1727209084000","09/24/2024 13:18:04.000 -0700","30","Sep 24 20:18:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:18:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":28,""latePercentage"":0.09408286011894762,""latencyPercentiles"":{""p50"":23,""p90"":28,""p99"":30},""avgLatency"":23.035714285714285,""maxLatency"":30,""timestamp"":""2024-09-24T20:18:04.736Z""}"
