================================================================================
ONE-WAY LATENCY ANALYSIS (BIXBY → MASTER)
================================================================================
Time Period: 2025-09-07T00:00:02+00:00 to 2025-09-27T07:21:55+00:00
Matched Entries: 4,156,756
Measurement: Bixby send time → Master receive time
================================================================================

OVERALL STATISTICS
--------------------------------------------------------------------------------
Count:       4,156,756
Min:             0.000 ms
Median:          6.000 ms
Max:         46980.000 ms
P99:           145.000 ms
P99.9:         151.000 ms
P99.99:      24425.298 ms

HOURLY STATISTICS
--------------------------------------------------------------------------------
Hour                    Count      Min   Median      Max      P99    P99.9   P99.99
--------------------------------------------------------------------------------
2025-09-10 11:00        9,010     0.00     6.00   146.00   145.00   146.00   146.00
2025-09-10 12:00        8,949     0.00     6.00   149.00   148.00   149.00   149.00
2025-09-10 13:00        9,021     0.00     6.00   150.00   148.00   149.00   149.10
2025-09-10 14:00        8,983     0.00     6.00   192.00   148.00   149.00   181.22
2025-09-10 15:00        8,954     0.00     6.00 26921.00   148.00   149.42 25482.25
2025-09-10 16:00        8,800     0.00     7.00 25562.00   145.00   162.40 25245.24
2025-09-10 17:00        8,187     0.00     7.00 25830.00   145.00   242.70 24611.92
2025-09-10 18:00        8,088     0.00     7.00   264.00   146.00   224.83   259.96
2025-09-10 19:00        8,399     0.00     7.00   288.00   146.00   151.01   288.00
2025-09-10 20:00        7,470     0.00    29.00   355.00   145.00   242.00   297.49
2025-09-10 21:00        8,047     0.00     7.00   251.00   145.00   192.95   245.37
2025-09-10 22:00        7,808     0.00    29.00 26263.00   144.00   148.00 24476.76
2025-09-10 23:00        7,812     0.00    29.00   148.00   145.00   147.00   148.00
2025-09-11 00:00        7,704     0.00    28.00   160.00   147.00   149.00   159.23
2025-09-11 01:00        7,701     0.00    29.00   185.00   143.00   147.00   178.84
2025-09-11 02:00        7,739     0.00    29.00   207.00   146.00   147.00   193.07
2025-09-11 03:00        7,720     0.00    28.00 24562.00   146.00   149.00 24250.92
2025-09-11 04:00        8,188     0.00     7.00 24655.00   147.00   148.00 22369.19
2025-09-11 05:00        7,826     0.00    28.00 16347.00   144.00   150.93 15947.92
2025-09-11 06:00        8,060     0.00     7.00   195.00   145.00   151.00   190.97
2025-09-11 07:00        7,930     0.00     8.00   158.00   146.00   150.00   155.62
2025-09-11 08:00        8,600     0.00     7.00 27456.00   146.00   219.41 26007.07
2025-09-11 09:00        9,002     0.00     7.00   192.00   145.00   146.00   172.20
2025-09-11 10:00        9,017     0.00     7.00 25646.00   145.00   146.00 25113.15
2025-09-11 11:00        9,056     0.00     6.00   147.00   145.00   146.00   146.09
2025-09-11 12:00        9,265     0.00     6.00   170.00   146.00   148.00   167.22
2025-09-11 13:00        9,391     0.00     6.00   192.00   146.00   148.00   191.06
2025-09-11 14:00        9,185     0.00     6.00   208.00   144.00   146.00   161.16
2025-09-11 15:00        9,254     0.00     7.00 24756.00   145.00   148.00 24749.52
2025-09-11 16:00        9,053     0.00     7.00   210.00   144.00   146.00   206.38
2025-09-11 17:00        9,139     0.00     7.00 28008.00   146.00   147.00 24675.37
2025-09-11 18:00        8,725     0.00     7.00   232.00   145.00   155.04   221.53
2025-09-11 19:00        8,819     0.00     7.00   170.00   145.00   147.00   165.59
2025-09-11 20:00        8,468     0.00     7.00   148.00   147.00   147.00   148.00
2025-09-11 21:00        8,528     0.00     7.00   227.00   146.00   147.00   221.03
2025-09-11 22:00        8,756     0.00     7.00   156.00   146.00   147.00   149.00
2025-09-11 23:00        9,204     0.00     6.00 25002.00   146.00   147.00 23349.14
2025-09-12 00:00        9,477     0.00     5.00 24822.00   146.00   147.00 24203.22
2025-09-12 01:00        9,139     0.00     6.00   235.00   145.00   146.00   153.67
2025-09-12 02:00        9,106     0.00     6.00   173.00   145.00   146.00   156.61
2025-09-12 03:00        9,047     0.00     7.00   184.00   145.00   148.00   179.48
2025-09-12 04:00        8,974     0.00     7.00   192.00   148.00   149.00   191.10
2025-09-12 05:00        9,040     0.00     7.00 14719.00   148.00   149.00 14155.87
2025-09-12 06:00        9,264     0.00     6.00   149.00   147.00   148.00   149.00
2025-09-12 07:00        9,002     0.00     7.00   205.00   147.00   148.00   157.29
2025-09-12 08:00        9,586     0.00     6.00 24424.00   142.00   175.00 23114.69
2025-09-12 09:00        9,647     0.00     6.00   176.00   174.00   175.00   175.03
2025-09-12 10:00        9,604     0.00     6.00   228.00   144.00   147.00   151.18
2025-09-12 11:00        9,894     0.00     6.00   210.00   139.00   141.00   209.01
2025-09-12 12:00       10,169     0.00     5.00   198.00   169.00   183.00   193.92
2025-09-12 13:00       10,013     0.00     5.00   201.00   148.00   200.00   201.00
2025-09-12 14:00        9,526     0.00     6.00   157.00   147.00   156.00   157.00
2025-09-12 15:00       10,729     0.00     4.00 21050.00   144.00   156.00 18311.86
2025-09-12 16:00       10,737     0.00     4.00 27743.00   148.00   177.18 24432.27
2025-09-12 17:00        9,727     0.00     6.00 31355.00   144.74   152.29 28222.26
2025-09-12 18:00        9,002     0.00     7.00   227.00   147.00   148.00   208.10
2025-09-12 19:00        9,214     0.00     6.00   216.00   147.00   148.00   172.70
2025-09-12 20:00        9,143     0.00     6.00 23019.00   147.58   164.00 20661.28
2025-09-12 21:00        8,980     0.00     6.00 22319.00   148.00   150.00 21768.59
2025-09-12 22:00        8,800     0.00     6.00 10306.00   144.00   218.20  1470.04
2025-09-12 23:00        8,815     0.00     6.00   189.00   144.00   159.19   186.36
2025-09-13 00:00        9,150     0.00     6.00   172.00   144.00   145.85   159.19
2025-09-13 01:00        9,034     0.00     6.00   173.00   144.00   146.00   170.29
2025-09-13 02:00        6,902     0.00     6.00   241.00   144.00   152.19   226.51
2025-09-13 03:00        8,844     0.00     6.00 25553.00   146.00   148.78 25122.35
2025-09-13 04:00        9,060     0.00     6.00 27142.00   144.00   147.00 25024.91
2025-09-13 05:00        8,750     0.00     6.00 28790.00   143.00   165.50 25856.46
2025-09-13 06:00        8,925     0.00     6.00 22455.00   146.00   155.00 22438.94
2025-09-13 07:00        8,691     0.00     6.00   187.00   146.00   147.00   187.00
2025-09-13 08:00        9,581     0.00     6.00 25028.00   146.00   148.00 24509.72
2025-09-13 09:00        9,361     0.00     6.00 23477.00   146.00   147.00 22050.54
2025-09-13 10:00        9,241     0.00     6.00   248.00   146.00   156.28   229.52
2025-09-13 11:00        9,393     0.00     6.00   276.00   147.00   148.00   189.59
2025-09-13 12:00        9,691     0.00     6.00   216.00   146.00   148.00   214.06
2025-09-13 13:00        9,352     0.00     6.00 23853.00   145.00   182.95 23025.44
2025-09-13 14:00        9,119     0.00     6.00 26689.00   145.00   148.76 24648.39
2025-09-13 15:00        9,117     0.00     6.00   232.00   145.00   148.00   226.53
2025-09-13 16:00        9,444     0.00     6.00   260.00   144.00   145.00   200.51
2025-09-13 17:00        9,358     0.00     6.00   251.00   145.00   229.22   250.06
2025-09-13 18:00        9,158     0.00     6.00   188.00   145.00   146.00   153.20
2025-09-13 19:00        9,135     0.00     6.00   206.00   146.00   147.00   174.03
2025-09-13 20:00        9,057     0.00     6.00 28254.00   146.00   197.89 26169.31
2025-09-13 21:00        8,788     0.00     6.00   281.00   146.00   148.00   234.43
2025-09-13 22:00        8,843     0.00     6.00   226.00   145.00   157.69   195.05
2025-09-13 23:00        8,926     0.00     6.00 22805.00   144.00   146.00 21415.38
2025-09-14 00:00        9,187     0.00     6.00 28608.00   146.00   251.63 27106.09
2025-09-14 01:00        8,780     0.00     6.00   306.00   145.00   148.00   212.94
2025-09-14 02:00        8,868     0.00     6.00   207.00   145.00   147.00   175.08
2025-09-14 03:00        8,774     0.00     6.00   293.00   146.00   186.23   287.74
2025-09-14 04:00        9,083     0.00     6.00 26865.00   146.00   153.51 24975.04
2025-09-14 05:00        8,764     0.00     6.00 28198.00   144.00   180.98 27007.11
2025-09-14 06:00        8,952     0.00     6.00   298.00   146.00   147.00   198.64
2025-09-14 07:00        8,815     0.00     6.00 23307.00   146.00   147.19 22317.19
2025-09-14 08:00        9,581     0.00     6.00 28429.00   146.00   147.42 27118.46
2025-09-14 09:00        9,407     0.00     6.00  2199.00   146.00   149.19   349.78
2025-09-14 10:00        9,319     0.00     6.00   231.00   144.00   146.00   209.57
2025-09-14 11:00        9,407     0.00     6.00   216.00   144.00   158.97   211.30
2025-09-14 12:00        9,657     0.00     6.00   287.00   144.00   146.69   257.07
2025-09-14 13:00        9,384     0.00     6.00   285.00   144.00   145.62   195.86
2025-09-14 14:00        9,044     0.00     7.00 26740.00   144.00   180.91 26490.41
2025-09-14 15:00        9,148     0.00     6.00   251.00   144.00   146.85   208.92
2025-09-14 16:00        9,474     0.00     6.00   262.00   146.00   146.00   261.05
2025-09-14 17:00        9,178     0.00     6.00   211.00   146.00   156.41   207.33
2025-09-14 18:00        9,226     0.00     6.00   216.00   146.00   147.00   201.24
2025-09-14 19:00        9,143     0.00     6.00   300.00   146.00   251.72   299.09
2025-09-14 20:00        9,108     0.00     6.00 27449.00   146.00   261.46 26532.84
2025-09-14 21:00        6,634     0.00     6.00   282.00   146.00   207.20   251.49
2025-09-14 22:00        8,820     0.00     7.00   256.00   146.00   152.00   249.83
2025-09-14 23:00        8,731     0.00     7.00   294.00   146.00   217.27   278.29
2025-09-15 00:00        9,154     0.00     6.00 27378.00   146.00   190.48 26909.37
2025-09-15 01:00        8,882     0.00     7.00   328.00   146.00   147.00   319.12
2025-09-15 02:00        8,823     0.00     7.00   232.00   146.00   146.00   222.30
2025-09-15 03:00        8,773     0.00     7.00 28876.00   146.00   206.14 27211.07
2025-09-15 04:00        8,755     0.00     7.00   290.00   147.00   149.00   225.22
2025-09-15 05:00        8,326     0.00     7.00 29961.00   148.00   297.68 27979.65
2025-09-15 06:00        8,521     0.00     7.00 25684.00   145.00   147.00 25258.00
2025-09-15 07:00        8,340     0.00     7.00   320.00   146.00   154.31   265.80
2025-09-15 08:00        9,233     0.00     7.00   244.00   146.00   175.84   232.92
2025-09-15 09:00        8,995     0.00     7.00 27896.00   142.00   210.01  3022.19
2025-09-15 10:00        8,911     0.00     7.00 25476.00   145.00   240.00 25114.25
2025-09-15 11:00        9,211     0.00     7.00   363.00   145.00   230.37   253.40
2025-09-15 12:00       10,231     0.00     6.00   339.00   145.00   169.31   228.91
2025-09-15 13:00        9,460     0.00     6.00   247.00   145.00   194.54   245.11
2025-09-15 14:00        9,676     0.00     6.00   507.00   145.00   202.47   326.08
2025-09-15 15:00        9,542     0.00     5.00   164.00   146.00   146.00   147.78
